rank,oracle_cumsum,pto_cumsum,pair_rank_cumsum,random_cumsum,pto_regret,pair_rank_regret,random_regret
1,23.0,13.0,1.0,2.0,10.0,22.0,21.0
2,45.0,23.0,11.0,6.0,22.0,34.0,39.0
3,67.0,32.0,22.0,6.0,35.0,45.0,61.0
4,88.0,38.0,26.0,13.0,50.0,62.0,75.0
5,109.0,46.0,36.0,25.0,63.0,73.0,84.0
6,130.0,51.0,42.0,38.0,79.0,88.0,92.0
7,150.0,64.0,53.0,38.0,86.0,97.0,112.0
8,170.0,71.0,59.0,49.0,99.0,111.0,121.0
9,190.0,79.0,62.0,49.0,111.0,128.0,141.0
10,210.0,87.0,72.0,49.0,123.0,138.0,161.0
11,230.0,94.0,77.0,51.0,136.0,153.0,179.0
12,249.0,104.0,85.0,60.0,145.0,164.0,189.0
13,268.0,112.0,96.0,71.0,156.0,172.0,197.0
14,287.0,122.0,104.0,77.0,165.0,183.0,210.0
15,306.0,128.0,113.0,78.0,178.0,193.0,228.0
16,325.0,134.0,121.0,80.0,191.0,204.0,245.0
17,344.0,146.0,133.0,81.0,198.0,211.0,263.0
18,363.0,147.0,147.0,84.0,216.0,216.0,279.0
19,382.0,161.0,162.0,95.0,221.0,220.0,287.0
20,401.0,167.0,164.0,98.0,234.0,237.0,303.0
21,420.0,178.0,165.0,99.0,242.0,255.0,321.0
22,439.0,188.0,177.0,109.0,251.0,262.0,330.0
23,458.0,191.0,187.0,109.0,267.0,271.0,349.0
24,477.0,197.0,188.0,110.0,280.0,289.0,367.0
25,496.0,208.0,190.0,117.0,288.0,306.0,379.0
26,515.0,219.0,202.0,117.0,296.0,313.0,398.0
27,534.0,222.0,208.0,131.0,312.0,326.0,403.0
28,552.0,223.0,215.0,131.0,329.0,337.0,421.0
29,570.0,232.0,228.0,141.0,338.0,342.0,429.0
30,588.0,245.0,238.0,147.0,343.0,350.0,441.0
31,606.0,259.0,248.0,150.0,347.0,358.0,456.0
32,624.0,263.0,251.0,161.0,361.0,373.0,463.0
33,642.0,271.0,265.0,171.0,371.0,377.0,471.0
34,660.0,275.0,272.0,171.0,385.0,388.0,489.0
35,678.0,284.0,278.0,175.0,394.0,400.0,503.0
36,696.0,286.0,287.0,177.0,410.0,409.0,519.0
37,714.0,302.0,296.0,188.0,412.0,418.0,526.0
38,732.0,317.0,308.0,191.0,415.0,424.0,541.0
39,750.0,328.0,315.0,192.0,422.0,435.0,558.0
40,768.0,340.0,325.0,195.0,428.0,443.0,573.0
41,786.0,341.0,339.0,205.0,445.0,447.0,581.0
42,804.0,346.0,339.0,213.0,458.0,465.0,591.0
43,822.0,355.0,343.0,223.0,467.0,479.0,599.0
44,840.0,367.0,351.0,240.0,473.0,489.0,600.0
45,858.0,376.0,351.0,250.0,482.0,507.0,608.0
46,876.0,390.0,357.0,257.0,486.0,519.0,619.0
47,894.0,403.0,364.0,260.0,491.0,530.0,634.0
48,912.0,413.0,376.0,262.0,499.0,536.0,650.0
49,930.0,413.0,379.0,266.0,517.0,551.0,664.0
50,948.0,415.0,386.0,266.0,533.0,562.0,682.0
51,965.0,420.0,396.0,272.0,545.0,569.0,693.0
52,982.0,427.0,411.0,283.0,555.0,571.0,699.0
53,999.0,429.0,421.0,283.0,570.0,578.0,716.0
54,1016.0,440.0,430.0,285.0,576.0,586.0,731.0
55,1033.0,451.0,441.0,286.0,582.0,592.0,747.0
56,1050.0,461.0,442.0,288.0,589.0,608.0,762.0
57,1067.0,475.0,449.0,295.0,592.0,618.0,772.0
58,1084.0,478.0,455.0,297.0,606.0,629.0,787.0
59,1101.0,487.0,462.0,297.0,614.0,639.0,804.0
60,1118.0,498.0,468.0,297.0,620.0,650.0,821.0
61,1135.0,506.0,470.0,298.0,629.0,665.0,837.0
62,1152.0,517.0,481.0,298.0,635.0,671.0,854.0
63,1169.0,531.0,490.0,300.0,638.0,679.0,869.0
64,1186.0,542.0,501.0,301.0,644.0,685.0,885.0
65,1203.0,552.0,507.0,301.0,651.0,696.0,902.0
66,1220.0,563.0,515.0,304.0,657.0,705.0,916.0
67,1237.0,566.0,524.0,304.0,671.0,713.0,933.0
68,1254.0,578.0,531.0,304.0,676.0,723.0,950.0
69,1271.0,588.0,531.0,305.0,683.0,740.0,966.0
70,1288.0,598.0,541.0,305.0,690.0,747.0,983.0
71,1305.0,603.0,543.0,305.0,702.0,762.0,1000.0
72,1322.0,612.0,558.0,310.0,710.0,764.0,1012.0
73,1339.0,621.0,564.0,311.0,718.0,775.0,1028.0
74,1356.0,632.0,574.0,316.0,724.0,782.0,1040.0
75,1373.0,637.0,583.0,328.0,736.0,790.0,1045.0
76,1390.0,652.0,591.0,328.0,738.0,799.0,1062.0
77,1407.0,662.0,601.0,328.0,745.0,806.0,1079.0
78,1424.0,676.0,603.0,328.0,748.0,821.0,1096.0
79,1441.0,688.0,616.0,335.0,753.0,825.0,1106.0
80,1457.0,700.0,620.0,344.0,757.0,837.0,1113.0
81,1473.0,712.0,622.0,345.0,761.0,851.0,1128.0
82,1489.0,719.0,627.0,345.0,770.0,862.0,1144.0
83,1505.0,723.0,635.0,349.0,782.0,870.0,1156.0
84,1521.0,731.0,648.0,349.0,790.0,873.0,1172.0
85,1537.0,741.0,657.0,356.0,796.0,880.0,1181.0
86,1553.0,748.0,659.0,356.0,805.0,894.0,1197.0
87,1569.0,758.0,672.0,356.0,811.0,897.0,1213.0
88,1585.0,759.0,681.0,364.0,826.0,904.0,1221.0
89,1601.0,770.0,687.0,364.0,831.0,914.0,1237.0
90,1617.0,785.0,696.0,373.0,832.0,921.0,1244.0
91,1633.0,792.0,704.0,373.0,841.0,929.0,1260.0
92,1649.0,799.0,708.0,373.0,850.0,941.0,1276.0
93,1665.0,806.0,720.0,384.0,859.0,945.0,1281.0
94,1681.0,818.0,727.0,388.0,863.0,954.0,1293.0
95,1697.0,826.0,728.0,388.0,871.0,969.0,1309.0
96,1713.0,835.0,738.0,392.0,878.0,975.0,1321.0
97,1729.0,844.0,749.0,399.0,885.0,980.0,1330.0
98,1745.0,856.0,757.0,412.0,889.0,988.0,1333.0
99,1761.0,866.0,765.0,418.0,895.0,996.0,1343.0
100,1777.0,877.0,770.0,434.0,900.0,1007.0,1343.0
101,1793.0,889.0,777.0,441.0,904.0,1016.0,1352.0
102,1809.0,901.0,788.0,441.0,908.0,1021.0,1368.0
103,1825.0,906.0,788.0,445.0,919.0,1037.0,1380.0
104,1841.0,916.0,796.0,451.0,925.0,1045.0,1390.0
105,1857.0,922.0,806.0,454.0,935.0,1051.0,1403.0
106,1873.0,932.0,818.0,456.0,941.0,1055.0,1417.0
107,1889.0,933.0,823.0,459.0,956.0,1066.0,1430.0
108,1905.0,946.0,823.0,459.0,959.0,1082.0,1446.0
109,1921.0,950.0,829.0,459.0,971.0,1092.0,1462.0
110,1937.0,954.0,830.0,463.0,983.0,1107.0,1474.0
111,1953.0,963.0,838.0,467.0,990.0,1115.0,1486.0
112,1969.0,968.0,850.0,467.0,1001.0,1119.0,1502.0
113,1985.0,979.0,863.0,467.0,1006.0,1122.0,1518.0
114,2001.0,980.0,866.0,472.0,1021.0,1135.0,1529.0
115,2017.0,987.0,871.0,481.0,1030.0,1146.0,1536.0
116,2033.0,995.0,871.0,492.0,1038.0,1162.0,1541.0
117,2049.0,1002.0,888.0,498.0,1047.0,1161.0,1551.0
118,2065.0,1003.0,896.0,501.0,1062.0,1169.0,1564.0
119,2081.0,1017.0,912.0,503.0,1064.0,1169.0,1578.0
120,2097.0,1018.0,920.0,503.0,1079.0,1177.0,1594.0
121,2113.0,1025.0,931.0,503.0,1088.0,1182.0,1610.0
122,2129.0,1037.0,935.0,510.0,1092.0,1194.0,1619.0
123,2145.0,1044.0,944.0,516.0,1101.0,1201.0,1629.0
124,2161.0,1054.0,954.0,518.0,1107.0,1207.0,1643.0
125,2177.0,1057.0,967.0,522.0,1120.0,1210.0,1655.0
126,2193.0,1068.0,975.0,525.0,1125.0,1218.0,1668.0
127,2208.0,1079.0,979.0,526.0,1129.0,1229.0,1682.0
128,2223.0,1093.0,980.0,540.0,1130.0,1243.0,1683.0
129,2238.0,1096.0,984.0,544.0,1142.0,1254.0,1694.0
130,2253.0,1101.0,995.0,544.0,1152.0,1258.0,1709.0
131,2268.0,1109.0,1003.0,549.0,1159.0,1265.0,1719.0
132,2283.0,1118.0,1018.0,556.0,1165.0,1265.0,1727.0
133,2298.0,1124.0,1031.0,556.0,1174.0,1267.0,1742.0
134,2313.0,1127.0,1044.0,557.0,1186.0,1269.0,1756.0
135,2328.0,1135.0,1054.0,567.0,1193.0,1274.0,1761.0
136,2343.0,1144.0,1070.0,569.0,1199.0,1273.0,1774.0
137,2358.0,1153.0,1078.0,579.0,1205.0,1280.0,1779.0
138,2373.0,1159.0,1086.0,580.0,1214.0,1287.0,1793.0
139,2388.0,1164.0,1097.0,580.0,1224.0,1291.0,1808.0
140,2403.0,1170.0,1110.0,582.0,1233.0,1293.0,1821.0
141,2418.0,1182.0,1118.0,582.0,1236.0,1300.0,1836.0
142,2433.0,1189.0,1125.0,589.0,1244.0,1308.0,1844.0
143,2448.0,1189.0,1127.0,593.0,1259.0,1321.0,1855.0
144,2463.0,1197.0,1134.0,599.0,1266.0,1329.0,1864.0
145,2478.0,1202.0,1147.0,599.0,1276.0,1331.0,1879.0
146,2493.0,1211.0,1167.0,599.0,1282.0,1326.0,1894.0
