user_id,group,A_obs,Y_obs,Y0_true,Y1_true,S0_true,S1_true,delta_true,delta_step_true,p,q,tau_p,tau_q,p_treated,q_treated,x1,x2,x3,x4,x5,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_7,pre_8,pre_9,pre_10,pre_11,pre_12,pre_13,pre_14,pre_15,pre_16,pre_17,pre_18,pre_19,pre_20,pre_21,pre_22,pre_23,pre_24,pre_25,pre_26,pre_27,pre_28,pre_29,pre_30,post0_1,post1_1,post0_2,post1_2,post0_3,post1_3,post0_4,post1_4,post0_5,post1_5,post0_6,post1_6,post0_7,post1_7,post0_8,post1_8,post0_9,post1_9,post0_10,post1_10,post0_11,post1_11,post0_12,post1_12,post0_13,post1_13,post0_14,post1_14,post0_15,post1_15,post0_16,post1_16,post0_17,post1_17,post0_18,post1_18,post0_19,post1_19,post0_20,post1_20,post0_21,post1_21,post0_22,post1_22,post0_23,post1_23,post0_24,post1_24,post0_25,post1_25,post0_26,post1_26,post0_27,post1_27,post0_28,post1_28,post0_29,post1_29,post0_30,post1_30
8132,B,1,0.7333333333333333,0.4,0.7333333333333333,0,1,0.33333333333333326,1,0.40908375444078626,0.746930936782991,0.34351992704417006,0.7014527350869132,0.6120752600045023,0.22299418825553172,-1.5561042288947102,-0.30865179485480393,-0.12514245542931582,2.5848673394485315,-0.00043313125828342076,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1
8268,B,1,0.43333333333333335,0.2,0.43333333333333335,0,0,0.23333333333333334,0,0.41723567506364384,0.7754799118487645,0.12330654785215513,0.2408711982575916,0.4890943321829375,0.5886891362570611,-0.29054154827346984,0.2854678254216802,1.0452634612923455,0.8948080025896524,0.4400204899421841,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
719,B,1,0.4,0.4,0.4,0,0,0.0,0,0.43287605595504003,0.7948757264385629,0.3175458966906948,0.27225230835971614,0.6129639373015603,0.5784689750565579,-1.0305574039231487,0.09525239744746067,0.7695943664067156,0.09649148255783252,1.3844628848198377,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
8237,A,1,0.8333333333333334,0.9333333333333333,0.8333333333333334,1,1,-0.09999999999999998,0,0.9212488785003992,0.43462774786690705,0.04985770015737089,0.36946244137533557,0.925175228303183,0.27404911905053575,0.4067280809968231,-0.7320504056174498,0.455441390269558,0.8724151452909702,-0.4022076339773935,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
4555,B,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,1,0.3333333333333333,1,0.4093513543477867,0.6440992402427862,0.6186724882079583,0.1420645706764537,0.7747694216101022,0.5525955582046648,0.7186060597791426,2.222678339488907,-0.5177117838209477,0.27933316445125406,0.215236772902594,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
6651,B,1,0.6666666666666666,0.43333333333333335,0.6666666666666666,0,1,0.23333333333333328,1,0.6763885653503702,0.6950559195351881,0.11510205239490066,0.11725500357245283,0.7136369056570009,0.613557135207035,-0.4283780342433787,-0.9663582098524252,1.7651195801164306,0.04226970621234813,0.4595081467930158,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1
5650,B,1,0.6,0.2,0.6,0,0,0.39999999999999997,0,0.22145652909854482,0.8354606181828006,0.4693719522381475,0.2217018901860584,0.5868829979378242,0.6502374199556609,-0.9115217398475943,1.3585157080523904,-0.34028821024887346,0.44848919074666854,-0.12252749731264705,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
9034,A,1,0.7666666666666667,0.7666666666666667,0.7666666666666667,1,1,0.0,0,0.7559935959676054,0.36630438475982746,0.10987361584091292,0.12449088278879443,0.7828034618669834,0.3207028285316703,0.9557980729338641,-0.49525919980685135,-0.23687355762733805,0.3335066825800786,0.487806323789044,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
1260,A,1,0.4666666666666667,0.5,0.4666666666666667,0,0,-0.033333333333333326,0,0.5199054249993511,0.5638463731851842,0.17405983878041612,0.25431665083177585,0.6034706093233164,0.4204508519730845,-0.7960604818251151,0.09748531298971336,1.1424982829260997,1.2320197035760392,1.3275888049496622,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
644,A,0,0.5333333333333333,0.5333333333333333,0.6666666666666666,0,1,0.1333333333333333,1,0.6356935312511158,0.737114262250119,0.1225949065170821,0.1437512439505149,0.6803556487309536,0.6311531701179983,-0.4856285335742323,0.32690962561532305,1.5148232815609894,0.14496937030782736,1.1441862834731378,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1
9098,A,1,0.8,0.7333333333333333,0.8,1,1,0.06666666666666676,0,0.7772091175300803,0.2549265956770599,0.07382837501340263,0.23390926976788162,0.7936574063506364,0.1952969018378268,0.862776648152154,-1.687733183646894,-0.950958108909895,-0.687237353836045,0.1201032230723785,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1
3760,B,0,0.6,0.6,0.7666666666666667,0,1,0.16666666666666674,1,0.6865918853354142,0.5454326378399922,0.6060404870250995,0.2666302943677185,0.876529891784358,0.4000037730549538,0.9682533204657595,0.6862979925548902,-0.11112621114219404,0.7095692231213884,1.1107855536288451,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
34,A,0,0.2,0.2,0.4666666666666667,0,0,0.26666666666666666,0,0.20716314301384803,0.7262467459665332,0.3016536524889785,0.1347252202142519,0.44632527675160266,0.6284029931863081,-1.4551974194529833,0.5689556063739339,-0.8090055249116386,-1.3242618426821398,-1.0222433341425983,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
8086,B,1,0.9333333333333333,0.5,0.9333333333333333,0,1,0.43333333333333335,1,0.6787134401566843,0.4857119186333278,0.1616840039302369,0.2928736156145148,0.7306603375611233,0.34345971287612204,0.21023411720780175,-1.1147662614171479,1.2094848154857163,0.46725586649730777,-0.1741035292399436,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1
4873,A,0,0.7,0.7,0.7333333333333333,1,1,0.033333333333333326,0,0.7545785741372355,0.46882720796542515,0.06284222738738932,0.21643881938603524,0.7700014031870407,0.3673548005773373,-0.44957024021402237,-1.4127980152448707,0.5847065193942216,1.2632585335677942,-0.17867244770036064,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1538,B,0,0.7666666666666667,0.7666666666666667,0.7,1,1,-0.06666666666666676,0,0.8534942323144746,0.45878897390304163,0.2858078113084728,0.21963187745135224,0.8953667251207422,0.3580242902107371,1.244707665832734,-0.9283825705313375,0.2770533383899935,-0.06846613357016398,0.0679268250947688,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1
