user_id,group,action,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,p01_0,p11_0,tau01,tau11,p01_1,p11_1
1,highly_compliant,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7753252143037623,0.9118162084767318,0.01784301083830817,0.01718817132236875,0.7931682251420705,0.9290043797991006
2,habit_forming_candidate,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.19258985257894087,0.8102707388342885,0.13377282935372056,0.03326138249851201,0.32636268193266144,0.8435321213328004
3,incentive_dependent,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0.20168742068436127,0.3859668584518475,0.38299024699133494,0.1884552178958893,0.5846776676756962,0.5744220763477368
4,forgetful_responsive,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0.39772815055860633,0.7304163822690312,0.30524686548565927,0.04708841533678828,0.7029750160442656,0.7775047976058195
5,habit_forming_candidate,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0.23002398551248396,0.8404385512861594,0.13264100357290393,0.04324730877688272,0.3626649890853879,0.8836858600630422
6,highly_compliant,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84378737682376,0.99,0.0403501670526986,0.010000000000000009,0.8841375438764586,0.99
7,habit_forming_candidate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.18619804674653292,0.8494450341754286,0.09629155463369941,0.054227376299784906,0.2824896013802323,0.9036724104752135
8,highly_compliant,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7996615773664789,0.9272120794435424,0.03878823683702241,0.06746564877944465,0.8384498142035013,0.99
9,habit_forming_candidate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0.26224293252648045,0.8172362177313677,0.13059306866073073,0.03330848386702074,0.3928360011872112,0.8505447015983885
10,incentive_dependent,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2383049878829188,0.35252951505926805,0.3719377709751912,0.23150504367578004,0.61024275885811,0.5840345587350481
11,forgetful_responsive,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.3851203939579923,0.8601876482635102,0.2663145267647227,0.06683460515811225,0.651434920722715,0.9270222534216225
12,forgetful_responsive,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0.32544285378484367,0.7226834385638901,0.2581712335069435,0.12309905876100291,0.5836140872917872,0.845782497324893
13,habit_forming_candidate,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0.24333575713134586,0.7676292237800398,0.08813184004739057,0.03307430686598189,0.3314675971787364,0.8007035306460217
14,highly_compliant,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8313114187897102,0.99,0.05869227834810904,0.010000000000000009,0.8900036971378192,0.99
15,incentive_dependent,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1838545744128198,0.32053209183223363,0.4249622999300789,0.16687236199545416,0.6088168743428987,0.4874044538276878
16,intermittent_unstable,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0.32795174562530904,0.5534121778162452,0.16086584314968508,0.09329196162871181,0.48881758877499415,0.646704139444957
17,forgetful_responsive,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0.32174374820672824,0.7646850111693824,0.20014261887977813,0.06575145350239922,0.5218863670865064,0.8304364646717816
18,habit_forming_candidate,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0.24278509445528335,0.8309665421049031,0.07765415198435449,0.01892605184644539,0.32043924643963784,0.8498925939513484
19,forgetful_responsive,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0.387233250034851,0.7946227027686047,0.2592448222899775,0.035119679922764026,0.6464780723248285,0.8297423826913687
20,intermittent_unstable,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0.3101378878657867,0.4782068956806056,0.1874497671570082,0.06601555967387204,0.4975876550227949,0.5442224553544777
21,highly_compliant,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7780754307640501,0.9048537354984576,0.0038150152215581466,0.06237293434408411,0.7818904459856082,0.9672266698425417
22,incentive_dependent,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0.21960701017424725,0.33861781430980764,0.39006690826750157,0.2047156213692987,0.6096739184417488,0.5433334356791063
23,highly_compliant,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.7237721447928988,0.8842651297059542,0.0,0.025705577494117633,0.7237721447928988,0.9099707072000718
24,forgetful_responsive,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0.30247470863708176,0.7568500388794693,0.2673204157532125,0.032643877718833814,0.5697951243902943,0.7894939165983031
25,habit_forming_candidate,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0.21841187847660948,0.8467661406615332,0.09970991593207924,0.03769508380098988,0.3181217944086887,0.8844612244625231
26,highly_compliant,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.7454970809346064,0.8711516207657247,0.0,0.002808970928237311,0.7454970809346064,0.873960591693962
27,habit_forming_candidate,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.17587202259996823,0.7904933467388023,0.09802872686724133,0.0,0.27390074946720955,0.7904933467388023
