user_id,group,action,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,p01_0,p11_0,tau01,tau11,p01_1,p11_1
1,highly_compliant,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7753252143037623,0.9118162084767318,0.0178430108383081,0.0171881713223687,0.7931682251420705,0.9290043797991006
2,habit_forming_candidate,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.1925898525789408,0.8102707388342885,0.1337728293537205,0.033261382498512,0.3263626819326614,0.8435321213328004
3,incentive_dependent,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0.2016874206843612,0.3859668584518475,0.3829902469913349,0.1884552178958893,0.5846776676756962,0.5744220763477368
4,forgetful_responsive,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.3977281505586063,0.7304163822690312,0.3052468654856592,0.0470884153367882,0.7029750160442656,0.7775047976058195
5,habit_forming_candidate,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0.2300239855124839,0.8404385512861594,0.1326410035729039,0.0432473087768827,0.3626649890853879,0.8836858600630422
6,highly_compliant,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84378737682376,0.99,0.0403501670526986,0.01,0.8841375438764586,0.99
7,habit_forming_candidate,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.1861980467465329,0.8494450341754286,0.0962915546336994,0.0542273762997849,0.2824896013802323,0.9036724104752136
8,highly_compliant,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7996615773664789,0.9272120794435424,0.0387882368370224,0.0674656487794446,0.8384498142035013,0.99
9,habit_forming_candidate,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.2622429325264804,0.8172362177313677,0.1305930686607307,0.0333084838670207,0.3928360011872112,0.8505447015983885
10,incentive_dependent,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0.2383049878829188,0.352529515059268,0.3719377709751912,0.23150504367578,0.61024275885811,0.5840345587350481
11,forgetful_responsive,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3851203939579923,0.8601876482635102,0.2663145267647227,0.0668346051581122,0.651434920722715,0.9270222534216224
12,forgetful_responsive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.3254428537848436,0.7226834385638901,0.2581712335069435,0.1230990587610029,0.5836140872917872,0.845782497324893
13,habit_forming_candidate,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.2433357571313458,0.7676292237800398,0.0881318400473905,0.0330743068659818,0.3314675971787364,0.8007035306460217
14,highly_compliant,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8313114187897102,0.99,0.058692278348109,0.01,0.8900036971378192,0.99
15,incentive_dependent,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.1838545744128198,0.3205320918322336,0.4249622999300789,0.1668723619954541,0.6088168743428987,0.4874044538276878
16,intermittent_unstable,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0.327951745625309,0.5534121778162452,0.160865843149685,0.0932919616287118,0.4888175887749941,0.646704139444957
17,forgetful_responsive,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0.3217437482067282,0.7646850111693824,0.2001426188797781,0.0657514535023992,0.5218863670865064,0.8304364646717816
18,habit_forming_candidate,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.2427850944552833,0.8309665421049031,0.0776541519843544,0.0189260518464453,0.3204392464396378,0.8498925939513484
19,forgetful_responsive,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0.387233250034851,0.7946227027686047,0.2592448222899775,0.035119679922764,0.6464780723248285,0.8297423826913687
20,intermittent_unstable,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0.3101378878657867,0.4782068956806056,0.1874497671570082,0.066015559673872,0.4975876550227949,0.5442224553544777
21,highly_compliant,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7780754307640501,0.9048537354984576,0.0038150152215581,0.0623729343440841,0.7818904459856082,0.9672266698425416
22,incentive_dependent,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0.2196070101742472,0.3386178143098076,0.3900669082675015,0.2047156213692987,0.6096739184417488,0.5433334356791063
23,highly_compliant,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7237721447928988,0.8842651297059542,0.0,0.0257055774941176,0.7237721447928988,0.9099707072000718
24,forgetful_responsive,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0.3024747086370817,0.7568500388794693,0.2673204157532125,0.0326438777188338,0.5697951243902943,0.7894939165983031
25,habit_forming_candidate,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.2184118784766094,0.8467661406615332,0.0997099159320792,0.0376950838009898,0.3181217944086887,0.8844612244625231
26,highly_compliant,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7454970809346064,0.8711516207657247,0.0,0.0028089709282373,0.7454970809346064,0.873960591693962
27,habit_forming_candidate,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0.1758720225999682,0.7904933467388023,0.0980287268672413,0.0,0.2739007494672095,0.7904933467388023
28,habit_forming_candidate,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.1251881807489757,0.7445802210050309,0.1357912129102371,0.0692419382818863,0.2609793936592128,0.8138221592869173
29,forgetful_responsive,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.4361211881142275,0.8605832053282518,0.2159726592491939,0.049343129240254,0.6520938473634215,0.9099263345685058
30,disengaged_nonresponsive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.01,0.2332319733048009,0.0565801509334404,0.0465293855392033,0.0665801509334404,0.2797613588440042
31,highly_compliant,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.7010820543638984,0.99,0.0691044253567739,0.01,0.7701864797206723,0.99
32,intermittent_unstable,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0.3876777833043331,0.4062104792841458,0.1471234795855898,0.1143987475097677,0.534801262889923,0.5206092267939135
33,intermittent_unstable,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.3519509407688884,0.4562948137190761,0.1434130467289713,0.0928253122050473,0.4953639874978598,0.5491201259241234
34,habit_forming_candidate,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0.2499251107224325,0.840609874746748,0.0950660109656878,0.0112118806816565,0.3449911216881204,0.8518217554284045
35,intermittent_unstable,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0.4307692153086949,0.4845519516597136,0.1086524842721439,0.0728092518168466,0.5394216995808389,0.5573612034765603
36,forgetful_responsive,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0.3455919991438648,0.6738050380924095,0.2128455506795998,0.0756853778074356,0.5584375498234646,0.7494904158998452
37,incentive_dependent,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0.1389275631473009,0.3805137661807285,0.4397083222379302,0.1888111333356417,0.5786358853852313,0.5693248995163702
38,intermittent_unstable,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0.4087918599519321,0.4760480141862597,0.0997614088073298,0.0637385397609105,0.508553268759262,0.5397865539471702
39,highly_compliant,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8144564732744752,0.980673600138522,0.0142088961256036,0.0,0.8286653694000788,0.980673600138522
40,disengaged_nonresponsive,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0436258751314349,0.1403760636163267,0.0002975445727378,0.0292425664172894,0.0439234197041727,0.1696186300336161
41,highly_compliant,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7865443031604631,0.94607138540158,0.0320917344859946,0.0107696700594585,0.8186360376464576,0.9568410554610386
42,habit_forming_candidate,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1513622482143168,0.7742609714648685,0.1438047870568914,0.0451019589604306,0.2951670352712082,0.8193629304252992
43,intermittent_unstable,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0.3533329046843076,0.4879803440235535,0.1404003027583216,0.0528883029602152,0.4937332074426293,0.5408686469837688
44,forgetful_responsive,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3865907779925462,0.8387037003237012,0.1994252654580779,0.0556287588099171,0.5860160434506243,0.8943324591336184
45,habit_forming_candidate,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0.2148308975704073,0.7525582300573653,0.0981958383346295,0.040632845428086,0.3130267359050368,0.7931910754854514
46,incentive_dependent,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0.232429431986304,0.404037907231798,0.3891174133021721,0.1644315939186794,0.6215468452884761,0.5684695011504775
47,highly_compliant,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0.7405864376789142,0.8841553062337596,0.0,0.0,0.7405864376789142,0.8841553062337596
48,habit_forming_candidate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.1968232066543751,0.8508377236963909,0.0657011366585819,0.0412349736453611,0.2625243433129571,0.892072697341752
49,highly_compliant,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0.6920358797977062,0.8649220740117888,0.0052247774044877,0.0136891327185962,0.697260657202194,0.8786112067303851
50,habit_forming_candidate,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.1944311774964903,0.8845264165031961,0.075313255950142,0.0418392029130931,0.2697444334466324,0.9263656194162893
51,habit_forming_candidate,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0946956472847092,0.8649470768251224,0.0966986359993874,0.0397611759535307,0.1913942832840966,0.9047082527786532
52,habit_forming_candidate,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1823440782826653,0.8679459377888662,0.0618488091566892,0.0269180186593243,0.2441928874393545,0.8948639564481905
53,forgetful_responsive,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.4144965851618423,0.7075376704227154,0.2608975062383884,0.1355263525784904,0.6753940914002308,0.8430640230012059
54,habit_forming_candidate,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.1029443472723091,0.781638174771745,0.0771704299449441,0.0436702737135388,0.1801147772172532,0.8253084484852838
